Parent_Id,Mother_Name,Father_Name,Email_Id,Phone
1038,Beeja,Chitaksh,Beeja@gmail.com,8568191997
1039,Bhamini,Daksh,Bhamini@gmail.com,9702032167
1040,Bhanumati,Dakshesh,Bhanumati@gmail.com,9965447468
1041,Bharati,Dalbir,Bharati@gmail.com,9823190541
1042,Bhavika,Darpan,Bhavika@gmail.com,9935737354
1043,Bhuma,Darsh,Bhuma@gmail.com,6942264150
1044,Bhumika,Darshit,Bhumika@gmail.com,9158695706
1045,Candy,Dev,Candy@gmail.com,9200080516
1046,Chahna,Devansh,Chahna@gmail.com,6781570950
1047,Chaitali,Dhairya,Chaitali@gmail.com,9981026781
1048,Chameli,Dhanuk,Chameli@gmail.com,8809189336
1049,Chandaa,Dhruv,Chandaa@gmail.com,6366916093
1050,Chandani,Divij,Chandani@gmail.com,9431172827
1051,Chandrakanta,Divit,Chandrakanta@gmail.com,8543900016
1052,Chandrima,Divyansh,Chandrima@gmail.com,8290439812
1053,Charita,Eeshan,Charita@gmail.com,9221682351
1054,Charu,Ehsaan,Charu@gmail.com,7689140992
1055,Charumati,Ekalinga,Charumati@gmail.com,8897770550
1056,Chella,Ekapad,Chella@gmail.com,6369580056
1057,Damayanti,Ekaraj,Damayanti@gmail.com,9320266874
1058,Darpitaa,Ekavir,Darpitaa@gmail.com,8109483127
1059,Darsha,Ekbal,Darsha@gmail.com,6883756780
1060,Dayanita,Faiyaz,Dayanita@gmail.com,8339238549
1061,Deva,Falan,Deva@gmail.com,6526976606
1062,Devahuti,Faqid,Devahuti@gmail.com,7373839674
1063,Devaki,Faraj,Devaki@gmail.com,7813744550
1064,Devi,Faras,Devi@gmail.com,6712196380
1065,Devika,Farhan,Devika@gmail.com,7730391759
1066,Dhanadaa,Fariq,Dhanadaa@gmail.com,8029623321
1067,Dhara,Faris,Dhara@gmail.com,8383061400
1068,Dharinee,Fitan,Dharinee@gmail.com,9359135413
1069,Dharitri,Fiyaz,Dharitri@gmail.com,7331804319
1070,Dhavala,Frado,Dhavala@gmail.com,6607152693
1071,Dhheiba,Gagan,Dhheiba@gmail.com,6730206376
1072,Divya,Gatik,Divya@gmail.com,7947606001
1073,Draupadi,Gaurang,Draupadi@gmail.com,7672235600
1074,Drisana,Gauransh,Drisana@gmail.com,6686718250
1075,Dularee,Gaurav,Dularee@gmail.com,9485927770
1076,Durga,Gautam,Durga@gmail.com,7658043005
1077,Gambhira,Girik,Gambhira@gmail.com,9495036633
1078,Hanita,Girindra,Hanita@gmail.com,8956568761
1079,Hansika,Girish,Hansika@gmail.com,8911272806
1080,Indu,Gopal,Indu@gmail.com,6359777910
1081,Ishana,Gunbir,Ishana@gmail.com,8706676996
1082,Ishani,Guneet,Ishani@gmail.com,9888011518
1083,Jaya,Hardik,Jaya@gmail.com,7283484995
1084,Kaeya,Harish,Kaeya@gmail.com,8650926828
1085,Kalinda,Harsh,Kalinda@gmail.com,6608474456
1086,Kalindi,Harshil,Kalindi@gmail.com,9422550154
1087,Kalynda,Hemang,Kalynda@gmail.com,9903502644
1088,Lalika,Himmat,Lalika@gmail.com,7141762042
1089,Lata,Hitesh,Lata@gmail.com,8693999027
1090,Monisha,Hridaan,Monisha@gmail.com,7147490707
1091,Neena,Hriday,Neena@gmail.com,9016534126
1092,Neesha,Hritik,Neesha@gmail.com,9684581133
1093,Niesha,Hunar,Niesha@gmail.com,7207251831
1094,Nisha,Ikbal,Nisha@gmail.com,9621066189
1095,Rachana,Ikshit,Rachana@gmail.com,8009184795
1096,Rachanna,Imaran,Rachanna@gmail.com,9299896124
1097,Rashana,Indrajit,Rashana@gmail.com,6648540359
1098,Rashanda,Isaac,Rashanda@gmail.com,9528335419
1099,Sagara,Ishwar,Sagara@gmail.com,7464026368
1100,Saleena,Ivaan,Saleena@gmail.com,7453737918
1101,Salena,Izaan,Salena@gmail.com,9494004251
1102,Salina,Jagat,Salina@gmail.com,7865892248
1103,Sana,Jagdish,Sana@gmail.com,9736021276
1104,Shaila,Jai,Shaila@gmail.com,6432445172
1105,Shaili,Jainew,Shaili@gmail.com,7665946641
1106,Shakeela,Jaiyush,Shakeela@gmail.com,7692566860
1107,Shakila,Jason,Shakila@gmail.com,6244290738
1108,Shalee,Jatin,Shalee@gmail.com,8950929926
1109,Shaleena,Jeet,Shaleena@gmail.com,7418626651
1110,Shalena,Jivin,Shalena@gmail.com,8733594724
1111,Shalene,Kabir,Shalene@gmail.com,7051427191
1112,Shalina,Kalpit,Shalina@gmail.com,8601428801
1113,Shalini,Kanav,Shalini@gmail.com,9937527017
1114,Shanta,Karan,Shanta@gmail.com,7382835779
1115,Shantae,Kiaan,Shantae@gmail.com,8159934004
1116,Shantai,Krish,Shantai@gmail.com,9031743056
1117,Shantay,Krishiv,Shantay@gmail.com,8608553209
1118,Shante,Krishna,Shante@gmail.com,8245260936
1119,Shantee,Kushagra,Shantee@gmail.com,8138585550
1120,Shanti,Laban,Shanti@gmail.com,6577157089
1121,Shyla,Laksh,Shyla@gmail.com,8774782463
1122,Shylah,Lakshay,Shylah@gmail.com,9841898078
1123,Soma,Lakshit,Soma@gmail.com,6864152276
1124,Tanaia,Lauhit,Tanaia@gmail.com,6968969971
1125,Tanaya,Lohit,Tanaya@gmail.com,9134281517
1126,Tanea,Lucky,Tanea@gmail.com,8541377002
1127,Arpana,Maanas,Arpana@gmail.com,7352711723
1128,Artha,Maanav,Artha@gmail.com,7245161968
1129,Arvindaa,Madhav,Arvindaa@gmail.com,7960481978
1130,Asmee,Manan,Asmee@gmail.com,8333261318
1131,Azha,Manav,Azha@gmail.com,9085106195
1132,Bakul,Manbir,Bakul@gmail.com,8838115882
1133,Shalini,Manthan,Shalini@gmail.com,9958344048
1134,Shanta,Medhansh,Shanta@gmail.com,9916247679
1135,Shantae,Mitesh,Shantae@gmail.com,6710598490
1136,Shantai,Mohammed,Shantai@gmail.com,6272924320
1137,Shantay,Moksh,Shantay@gmail.com,9188478686
1138,Shante,Nachiket,Shante@gmail.com,7271990566
1139,Shantee,Naksh,Shantee@gmail.com,9787982326
1140,Shylah,Nakul,Shylah@gmail.com,9803865920
1141,Soma,Naveen,Soma@gmail.com,7972278834
1142,Tanaia,Navodit,Tanaia@gmail.com,6855731286
1143,Tanaya,Neel,Tanaya@gmail.com,7803302174
1144,Asmee,Nihal,Asmee@gmail.com,8246322806
1145,Tanaya,Neel,Tanaya@gmail.com,8646987634
1146,dbkdha,akbdka,akjdbkaw@gmail.com,7987986928
1147,djbakd,ldbakuwb,bwduabw@gmail.com,2632600088
1148,dialenf,nlsn,neinfli@gmail.com,6522459045
1149,akubaekuba,svljb,nelifn@gmail.com,6349411891
1150,cladl,slvjbd,anef@gmail.com,6176364737
1151,akbaekb,skvjb,Aoifnie@gmail.com,6003317583
1152,akjbakf,svkjbv,acnel@gmail.com,5830270429
1153,akbakef,svljbsl,aine@gmail.com,5657223275
1154,akdhek,aldbe,ancen@gmail.com,5484176121
1155,akheka,alfiblkn,Oainc@gmail.com,5311128967
1156,abka,rirl,Anel@gmail.com,5138081813
1157,akdbakd,sjbseklvn,lifne@gmail.com,4965034659
1158,adbakwd,sljbs,ofineif@gmail.com,4791987505
1159,akdjbak,slvjsblv,aifnei@gmail.com,4618940350
1160,jrbvkr,svljsbs,inel@gmail.com,4445893196
1161,kfubfsr,slnrslg,einle@gmail.com,4272846042
1162,virnlv,slfjbsl,eifne@gmail.com,4099798888
1163,slvjr,slfkslks,afine@gmail.com,3926751734
1164,inlrign,slvjksbls,wcbb@gmail.com,3753704580
1165,gnrgn,lffs,neno@gmail.com,3580657426
1166,gndlirgn,ram ,finefnl@gmail.com,3407610272
1167,dogindrg,shyam ,audw@gmail.com,3234563118
1168,sgjnsjr,fhfha,febfu@gmail.com,3061515964
1169,sfnslrgi,tanmay,fubeub@gmail.com,2888468810
1170,skgjsbrg,akfjae,aoeufioe@gmail.com,2715421656
1171,skfjbskrjg,aljae,foeuf@gmail.com,2542374502
1172,suebs,akjbae,ufbeu@gmail.com,2369327348
1173,srbfksr,a'faetanu a,uenf@gmail.com,2196280194
1174,sfbrkuf,manu,fnelf@gmail.com,2023233040
1175,sifiubskrug,dbaud,nfeonf@gmail.com,1850185886
1176,skfusbk,dbdaa,fnlen@gmail.com,1677138732
1177,sfubskrgb,cnlnf,afnle@gmail.com,1504091578
1178,sfubrgkubs,cjbkd,elfnel@gmail.com,1331044424
1179,skgubrskg,dbj,fneln@gmail.com,1157997270
1180,skgrub,shyam ,fnel@gmail.com,7687687889
1181,skfjbr,dnalb,efune@gmail.com,6768768768
1182,skubsgrk,aslcble,fefinl@gmail.com,7583759799
1183,finslifn,jbcjd],dnelfin@gmail.com,5637468588
1184,fsirgns,nfaen,dninfl@gmail.com,5983459849
1185,subf,jdjbc,fef@gmail.com,9273756457
1186,skfubskf,rhrirb,fnelifn@gmail.com,5793875987
1187,fnsibf,fbaub,feffel@gmail.com,3647384873
1188,skfjbk,coabe,funflu@gmail.com,4729386468
1189,sfjbseklf,uab,fuef@gmail.com,4723758475
1190,sfjsef,fefjl,fnlenfl@gmail.com,4982394839
1191,sfljsblfe,fljef,girgl@gmail.com,4982934868
1192,sfljesbfls,skjbkf,glingl@gmail.com,4928369486
1193,fsljfbslf,afkhebfk,wksl@gmail.com,9384693868
1194,sflsjbflsf,afjbekf,fkubgur@gmail.com,3986498360
1195,sfslejfbsf,afjbeflg,fubfl@gmail.com,4798374989
1196,fslfel,lgirnlgn,grubglb@gmail.com,4983498367
1197,sflknfl,kufke,flienf@gmail.com,4926372639
1198,sfjbself,svblrugb,fnlin@gmail.com,4839489839
1199,sfjbsl,vurbgd,finlenf@gmail.com,9836498263
1200,sfjsb,vbrbg,efubg@gmail.com,4939469399
